class,age,gender,survival
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,yes
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,adult,female,no
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,male,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
second class,young,female,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,yes
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,male,no
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,yes
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,adult,female,no
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,yes
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,male,no
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,yes
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
third class,young,female,no
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
