year,male,earnings,female
2012,1,17.1875,0
2012,0,12.5,1
2012,1,15.38461494,0
2012,1,55.76922989,0
2012,1,18.00699234,0
2012,0,14.52991486,1
2012,1,29.71153831,0
2012,0,31.25,1
2012,1,32,0
2012,1,14.42307663,0
2012,1,11.53846169,0
2012,0,14.42307663,1
2012,1,13.48039246,0
2012,0,15.38461494,1
2012,0,22.5,1
2012,1,9.134614944,0
2012,0,18.75,1
2012,0,16.82692337,1
2012,0,12.01923084,1
2012,1,27.77777863,0
2012,0,15.625,1
2012,0,16.34615326,1
2012,0,3.885392427,1
2012,0,13.07692337,1
2012,1,19.23077011,0
2012,1,36.6300354,0
2012,0,9.615385056,1
2012,1,12.5,0
2012,1,10.41666698,0
2012,0,28.84615326,1
2012,0,21.63461494,1
2012,1,15.38461494,0
2012,1,20.0854702,0
2012,0,18.19126892,1
2012,1,44.87179565,0
2012,0,40.86538315,1
2012,1,12.5,0
2012,1,47.11538315,0
2012,0,16.23931694,1
2012,1,72.11538696,0
2012,1,10.35503006,0
2012,0,9.615385056,1
2012,0,12.27087879,1
2012,0,52.88461685,1
2012,1,26.70940208,0
2012,0,20.87912178,1
2012,1,28.36538506,0
2012,1,12.5,0
2012,1,11.1888113,0
2012,1,24.4755249,0
2012,0,19.23077011,1
2012,1,12.25961494,0
2012,0,14.50961494,1
2012,1,16.82692337,0
2012,0,27.47252655,1
2012,0,36.05769348,1
2012,0,22.95918274,1
2012,0,24.03846169,1
2012,0,29.39903831,1
2012,0,8.974358559,1
2012,1,12.11538506,0
2012,0,12.46153831,1
2012,0,36.05769348,1
2012,0,17.30769157,1
2012,1,16.34567261,0
2012,1,23.80952454,0
2012,0,9.615385056,1
2012,1,26.92307663,0
2012,0,40.86538315,1
2012,1,18.26922989,0
2012,1,14.42307663,0
2012,0,41.66666794,1
2012,0,26.15384674,1
2012,1,24.03846169,0
2012,0,36.98225021,1
2012,0,48.07692337,1
2012,1,26.44230843,0
2012,1,29.80769157,0
2012,0,16.82692337,1
2012,0,24.03846169,1
2012,1,24.03846169,0
2012,0,11.09467411,1
2012,1,21.36752129,0
2012,1,18.26922989,0
2012,0,16.66666603,1
2012,1,18.26922989,0
2012,1,22.59615326,0
2012,0,24.03846169,1
2012,1,24.03846169,0
2012,1,31.25,0
2012,1,45.19230652,0
2012,1,26.44230843,0
2012,0,28.84615326,1
2012,0,25,1
2012,0,12.5,1
2012,1,32.69230652,0
2012,1,10.81730747,0
2012,1,26.33136177,0
2012,0,28.84615326,1
2012,0,27.74725342,1
2012,0,32.69230652,1
2012,0,18.26922989,1
2012,0,33.65384674,1
2012,0,21.97802162,1
2012,0,26.06837654,1
2012,0,14.42307663,1
2012,1,33.65384674,0
2012,0,16.64201164,1
2012,1,22.59615326,0
2012,0,11.05769253,1
2012,1,23.84653854,0
2012,1,20,0
2012,0,28.84615326,1
2012,0,12.94378662,1
2012,0,32.05128098,1
2012,0,56.25,1
2012,1,25,0
2012,0,21.875,1
2012,1,19.23077011,0
2012,0,12.01923084,1
2012,1,16.82692337,0
2012,1,35.09615326,0
2012,1,28.84615326,0
2012,0,10.57692337,1
2012,0,16.48351669,1
2012,1,19.76495743,0
2012,1,35.57692337,0
2012,1,35.57692337,0
2012,0,12.01923084,1
2012,0,20.25462914,1
2012,1,17.09401703,0
2012,1,31.25,0
2012,0,26.09890175,1
2012,1,38.46154022,0
2012,0,19.23077011,1
2012,1,24.03846169,0
2012,0,25.96153831,1
2012,0,14.17004013,1
2012,1,21.23397446,0
2012,0,20.12611771,1
2012,0,11.09541416,1
2012,1,26.92307663,0
2012,1,16.82692337,0
2012,0,14.42307663,1
2012,0,31.25,1
2012,0,16.82692337,1
2012,0,26.44230843,1
2012,0,18,1
2012,1,16.60839081,0
2012,0,19.61615372,1
2012,0,18.75,1
2012,1,19.23077011,0
2012,1,28.84615326,0
2012,1,9.615385056,0
2012,1,13.7435894,0
2012,1,27.77777863,0
2012,1,16.53846169,0
2012,0,14.42307663,1
2012,0,12.08791256,1
2012,0,21.63461494,1
2012,1,15.28599644,0
2012,1,67.30769348,0
2012,1,6.538461685,0
2012,1,23.55769157,0
2012,0,13.46153831,1
2012,1,15.38461494,0
2012,1,33.65384674,0
2012,0,31.42589188,1
2012,0,19.23077011,1
2012,1,9.134614944,0
2012,1,15.73426533,0
2012,0,11.05769253,1
2012,1,37.95546722,0
2012,0,17.62820435,1
2012,0,25,1
2012,1,38.46154022,0
2012,1,41.88034058,0
2012,0,38.26530457,1
2012,1,10.41666698,0
2012,0,12.01923084,1
2012,0,16.92307663,1
2012,0,31.25,1
2012,0,61.53845978,1
2012,0,29.39903831,1
2012,1,13.19999981,0
2012,1,50,0
2012,1,18.26922989,0
2012,1,45.45454407,0
2012,0,18.53146935,1
2012,1,42.73504257,0
2012,1,44.87179565,0
2012,1,28.84615326,0
2012,0,7.692307472,1
2012,0,23.19079018,1
2012,0,37.5,1
2012,1,43.75,0
2012,1,13.04500008,0
2012,1,28.84615326,0
2012,1,36.5,0
2012,1,62.5,0
2012,1,25.64102554,0
2012,1,21.92307663,0
2012,1,31.25,0
2012,1,2.884615421,0
2012,1,20.91715622,0
2012,1,19.23077011,0
2012,1,36.05769348,0
2012,0,14.42307663,1
2012,1,42.30769348,0
2012,1,24.78632545,0
2012,0,24.78632545,1
2012,0,36.53845978,1
2012,1,29.67033005,0
2012,1,7.692307472,0
2012,1,24.03846169,0
2012,0,31.25,1
2012,1,32.05128098,0
2012,1,14.42307663,0
2012,1,14.42307663,0
2012,0,22.59615326,1
2012,1,38.46154022,0
2012,1,13.94230747,0
2012,1,29.80769157,0
2012,1,22.22222137,0
2012,0,28.02197838,1
2012,1,36.6300354,0
2012,0,32.21154022,1
2012,0,23.65384674,1
2012,0,16.34615326,1
2012,0,19.71153831,1
2012,1,24.572649,0
2012,0,27.36686325,1
2012,0,28.29670334,1
2012,0,55.20833206,1
2012,1,28.84615326,0
2012,0,34.61538315,1
2012,0,15.43522263,1
2012,1,16.34615326,0
2012,0,12.5,1
2012,1,22.69230843,0
2012,1,48.07692337,0
2012,1,39.2857132,0
2012,0,27.88461494,1
2012,0,9.8039217,1
2012,1,33.65384674,0
2012,0,20.42414474,1
2012,0,9.615385056,1
2012,0,27.55555534,1
2012,1,24.03846169,0
2012,1,43.26922989,0
2012,1,31.25,0
2012,0,33.65384674,1
2012,0,29.89999962,1
2012,0,43.26922989,1
2012,0,35.25640869,1
2012,1,22.59615326,0
2012,1,31.25,0
2012,0,9.134614944,1
2012,1,38.46154022,0
2012,1,24.03846169,0
2012,1,26.44230843,0
2012,1,10.81730747,0
2012,1,55.28845978,0
2012,0,33.65384674,1
2012,0,2.403846264,1
2012,0,33.65384674,1
2012,1,48.07692337,0
2012,0,48.07692337,1
2012,1,8.741258621,0
2012,1,27.2435894,0
2012,0,16.82692337,1
2012,1,10.27027035,0
2012,1,33.65384674,0
2012,1,19.23077011,0
2012,1,43.26922989,0
2012,1,24.88888931,0
2012,1,14.42307663,0
2012,1,24.03846169,0
2012,0,21.63461494,1
2012,0,19.23077011,1
2012,1,20.0854702,0
2012,1,33.28402328,0
2012,0,12.82051277,1
2012,1,25.96153831,0
2012,1,62.5,0
2012,1,28.84615326,0
2012,1,17.11111069,0
2012,0,36.05769348,1
2012,1,34.61538315,0
2012,1,10.68376064,0
2012,1,26.92307663,0
2012,0,21.63461494,1
2012,0,26.44230843,1
2012,1,20.39999962,0
2012,1,24.03942299,0
2012,1,51.44230652,0
2012,0,21.63461494,1
2012,0,14.42307663,1
2012,1,27.47252655,0
2012,1,38.46154022,0
2012,0,18.19126892,1
2012,0,43.26922989,1
2012,1,26.92307663,0
2012,0,5.769230843,1
2012,0,20.67307663,1
2012,0,18.34319496,1
2012,1,25.64102554,0
2012,1,36.71328735,0
2012,0,40.38461685,1
2012,1,26.92307663,0
2012,1,26.92307663,0
2012,0,10.57692337,1
2012,1,9.615385056,0
2012,0,13.46153831,1
2012,0,9.615385056,1
2012,0,12.01923084,1
2012,1,26.15384674,0
2012,1,15.73426533,0
2012,0,12.01923084,1
2012,0,15.54828167,1
2012,1,28.84615326,0
2012,0,31.25,1
2012,1,26.44230843,0
2012,1,26.44230843,0
2012,0,11.53846169,1
2012,0,35.38461685,1
2012,0,23.07692337,1
2012,1,44.87179565,0
2012,1,21.63461494,0
2012,1,52.88461685,0
2012,1,20.60439491,0
2012,0,32.05128098,1
2012,1,20.60439491,0
2012,1,15.38461494,0
2012,1,24.03846169,0
2012,0,24.72527504,1
2012,0,21.63461494,1
2012,1,11.18951035,0
2012,1,28.84615326,0
2012,0,5.769230843,1
2012,1,16.82692337,0
2012,0,24.03846169,1
2012,0,28.84615326,1
2012,1,24.2857151,0
2012,1,63.94230652,0
2012,0,21.63461494,1
2012,1,19.23077011,0
2012,0,50.48077011,1
2012,0,29.12087822,1
2012,0,28.84615326,1
2012,1,19.23077011,0
2012,1,18.26922989,0
2012,0,19.23077011,1
2012,1,21.63557625,0
2012,0,44.87179565,1
2012,0,43.26922989,1
2012,1,12.5,0
2012,1,19.23077011,0
2012,0,12.94378662,1
2012,0,21.63461494,1
2012,1,18.55769157,0
2012,1,35.75,0
2012,0,36.05769348,1
2012,0,12.40384579,1
2012,1,12.5,0
2012,0,18.75,1
2012,1,34.61538315,0
2012,1,11.25,0
2012,0,53.84615326,1
2012,0,23.07692337,1
2012,1,38.46154022,0
2012,1,24.03846169,0
2012,1,40.86538315,0
2012,0,48.07692337,1
2012,1,20.19230843,0
2012,0,14.42307663,1
2012,0,19.23077011,1
2012,1,8.241758347,0
2012,0,38.46154022,1
2012,1,48.07692337,0
2012,0,23.55769157,1
2012,1,19.23077011,0
2012,0,38.46154022,1
2012,1,31.25,0
2012,1,20,0
2012,1,22,0
2012,1,28.84615326,0
2012,0,18.02884674,1
2012,0,26.92307663,1
2012,1,57.69230652,0
2012,1,19.23077011,0
2012,0,28.84615326,1
2012,0,14.90384579,1
2012,1,21.15384674,0
2012,0,14.42307663,1
2012,1,30,0
2012,1,13.73626328,0
2012,1,21.15384674,0
2012,1,31.25,0
2012,1,14.42307663,0
2012,0,21.36752129,1
2012,0,11.77403831,1
2012,0,26.44230843,1
2012,0,13.75,1
2012,0,24.03846169,1
2012,0,10.91476059,1
2012,0,6.730769157,1
2012,1,11.12980747,0
2012,0,29.39903831,1
2012,1,28.84615326,0
2012,0,14.42307663,1
2012,1,39.42307663,0
2012,0,34.8837204,1
2012,1,28.84711456,0
2012,1,43.26922989,0
2012,1,48.07692337,0
2012,1,17.03296661,0
2012,1,23.50427437,0
2012,0,19.71153831,1
2012,0,24.03846169,1
2012,1,38.46154022,0
2012,1,14.42307663,0
2012,1,48.07692337,0
2012,0,16.82692337,1
2012,1,16.34615326,0
2012,1,40.38461685,0
2012,1,22.59615326,0
2012,1,26.82692337,0
2012,1,31.25,0
2012,0,26.44230843,1
2012,0,9.615385056,1
2012,0,24.03846169,1
2012,1,24.03846169,0
2012,0,28.84615326,1
2012,1,31.59340668,0
2012,1,14.42307663,0
2012,0,19.23077011,1
2012,0,24.03846169,1
2012,0,14.42307663,1
2012,0,14.28571415,1
2012,1,40.38461685,0
2012,0,36.05769348,1
2012,0,21.36752129,1
2012,0,21.63461494,1
2012,1,34.61538315,0
2012,1,24.03846169,0
2012,1,38.46154022,0
2012,0,42.73504257,1
2012,0,16.48351669,1
2012,0,24.03846169,1
2012,0,67.30769348,1
2012,0,33.65384674,1
2012,1,24.03846169,0
2012,0,25.96153831,1
2012,1,14.61538506,0
2012,0,22.59615326,1
2012,0,14.42307663,1
2012,0,24.78632545,1
2012,1,25.04472351,0
2012,0,8.626373291,1
2012,0,50.48077011,1
2012,1,12.82051277,0
2012,1,17.78846169,0
2012,0,18.99038506,1
2012,0,19.93007088,1
2012,0,10.98901081,1
2012,0,14.42307663,1
2012,0,48.07692337,1
2012,0,46.15384674,1
2012,0,24.03846169,1
2012,1,19.23077011,0
2012,1,31.25,0
2012,0,19.23077011,1
2012,0,23,1
2012,1,27.69230843,0
2012,0,11.53846169,1
2012,1,33.65384674,0
2012,1,31.25,0
2012,0,18.26922989,1
2012,1,43.75,0
2012,0,40.04807663,1
2012,1,34.61538315,0
2012,0,10.98901081,1
2012,1,17.30769157,0
2012,0,37.66025543,1
2012,0,28.84615326,1
2012,1,15.38461494,0
2012,1,25.48077011,0
2012,0,24.03846169,1
2012,0,16.48351669,1
2012,0,11.1336031,1
2012,1,17.78846169,0
2012,0,19.23077011,1
2012,0,15.86538506,1
2012,1,17.94871712,0
2012,0,15.86538506,1
2012,0,10.09615421,1
2012,1,9.375,0
2012,0,29.80769157,1
2012,1,11.05769253,0
2012,1,11.96581173,0
2012,1,18.02884674,0
2012,0,9.340659142,1
2012,0,24.03846169,1
2012,1,9.615385056,0
2012,0,16.34615326,1
2012,0,9.615385056,1
2012,1,12.82051277,0
2012,0,36.05769348,1
2012,0,14.10256386,1
2012,1,16.34615326,0
2012,1,9.615385056,0
2012,1,14.90384579,0
2012,0,19.23077011,1
2012,0,9.134614944,1
2012,1,21.63461494,0
2012,1,14.42307663,0
2012,0,25.64102554,1
2012,1,16.82692337,0
2012,0,20.19230843,1
2012,1,15.16272163,0
2012,0,24.03846169,1
2012,1,20.0854702,0
2012,0,7.142857075,1
2012,0,14.42307663,1
2012,1,40.86538315,0
2012,1,9.134614944,0
2012,1,16.34567261,0
2012,0,8.653845787,1
2012,1,12.01923084,0
2012,1,14.42307663,0
2012,0,12.01923084,1
2012,0,14.42307663,1
2012,0,11.11111069,1
2012,0,25,1
2012,1,32.69230652,0
2012,0,16.19433212,1
2012,1,37.5,0
2012,1,30.76922989,0
2012,0,22.43589783,1
2012,1,24.03846169,0
2012,1,33.65384674,0
2012,1,28.36538506,0
2012,1,27.69230843,0
2012,0,15.72115421,1
2012,0,52.88461685,1
2012,0,11.39423084,1
2012,1,45.67307663,0
2012,0,15.86538506,1
2012,1,28.86634636,0
2012,0,27.03798103,1
2012,0,12.01923084,1
2012,1,16.82692337,0
2012,1,41.34615326,0
2012,0,24.03942299,1
2012,0,21.15384674,1
2012,1,28.84615326,0
2012,1,17.09401703,0
2012,0,28.84615326,1
2012,1,26.92307663,0
2012,1,26.82692337,0
2012,1,38.46154022,0
2012,0,21.63461494,1
2012,1,20.67307663,0
2012,1,43.75,0
2012,0,40.04807663,1
2012,1,29.069767,0
2012,0,36.05769348,1
2012,1,35.25640869,0
2012,1,45.67307663,0
2012,0,16.34615326,1
2012,1,26.44230843,0
2012,0,16.82692337,1
2012,0,19.23077011,1
2012,0,23.07692337,1
2012,1,52.88461685,0
2012,0,24.03846169,1
2012,1,38.46154022,0
2012,1,23.07692337,0
2012,0,21.15384674,1
2012,1,12.30769253,0
2012,0,26.44230843,1
2012,0,22.59615326,1
2012,0,32.96703339,1
2012,1,21.63461494,0
2012,0,5.769230843,1
2012,1,14.42307663,0
2012,0,23.55769157,1
2012,1,25,0
2012,1,28.84615326,0
2012,0,21.63461494,1
2012,0,20.19230843,1
2012,1,9.615385056,0
2012,1,34.61538315,0
2012,0,14.42307663,1
2012,1,36.05769348,0
2012,1,20.67307663,0
2012,1,16.02564049,0
2012,0,32.38866425,1
2012,0,28.84615326,1
2012,1,30.76922989,0
2012,0,17.30769157,1
2012,0,27.47252655,1
2012,1,15.81196594,0
2012,0,17.30769157,1
2012,1,21.63557625,0
2012,0,33.65384674,1
2012,0,28.34008026,1
2012,1,23.27935219,0
2012,0,28.36538506,1
2012,0,14.42307663,1
2012,1,8.653845787,0
2012,0,8.894230843,1
2012,1,23.50427437,0
2012,1,14.42307663,0
2012,1,33.65384674,0
2012,1,18.26922989,0
2012,0,31.25,1
2012,0,19.23077011,1
2012,1,13.05667973,0
2012,0,19.23077011,1
2012,0,10.84812641,1
2012,0,18.26922989,1
2012,1,24.03846169,0
2012,1,29.9145298,0
2012,1,38.46154022,0
2012,1,24.03846169,0
2012,0,14.42307663,1
2012,1,25.48077011,0
2012,0,16.76528549,1
2012,0,16.82692337,1
2012,0,21.63461494,1
2012,0,43.26922989,1
2012,1,33.65384674,0
2012,0,17.30769157,1
2012,1,32.30769348,0
2012,1,9.375,0
2012,0,24.03846169,1
2012,0,10.57692337,1
2012,0,21.63557625,1
2012,1,19.23077011,0
2012,0,14.42307663,1
2012,1,11.53846169,0
2012,1,12.98076916,0
2012,0,27.2435894,1
2012,1,14.28571415,0
2012,1,28.84615326,0
2012,1,30,0
2012,1,24.03846169,0
2012,0,17.45192337,1
2012,0,15.38461494,1
2012,0,15.86538506,1
2012,0,11.39423084,1
2012,1,24.03846169,0
2012,0,15.38461494,1
2012,1,32.69230652,0
2012,1,47.11538315,0
2012,0,19.23077011,1
2012,0,16.82692337,1
2012,1,14.52991486,0
2012,0,26.44230843,1
2012,1,16.82692337,0
2012,1,31.25,0
2012,0,27.30769157,1
2012,0,17.30769157,1
2012,1,37.5,0
2012,0,20.16885567,1
2012,0,16.11778831,1
2012,1,74.5192337,0
2012,0,14.79289913,1
2012,1,19.23077011,0
2012,1,26.875,0
2012,1,14.42307663,0
2012,1,26.44230843,0
2012,0,16.82692337,1
2012,1,17.30769157,0
2012,1,10,0
2012,0,4.273504257,1
2012,0,20.19230843,1
2012,0,27.47252655,1
2012,1,15.38461494,0
2012,1,15.38461494,0
2012,0,24.03846169,1
2012,1,9.615385056,0
2012,0,9.230769157,1
2012,0,2.403846264,1
2012,1,23.07692337,0
2012,0,29.38034248,1
2012,1,12.01923084,0
2012,1,54.54545593,0
2012,1,9.592308044,0
2012,0,17.30769157,1
2012,1,24.03846169,0
2012,0,17.30769157,1
2012,0,30.76922989,1
2012,1,19.58041954,0
2012,0,23.07692337,1
2012,1,15.38461494,0
2012,0,17.58241844,1
2012,1,11.05769253,0
2012,1,24.03846169,0
2012,0,5.769230843,1
2012,0,24.03846169,1
2012,0,38.46154022,1
2012,0,21.15384674,1
2012,1,14.42307663,0
2012,0,16.48351669,1
2012,0,40.86538315,1
2012,0,26.70940208,1
2012,0,12.88461494,1
2012,1,23.50427437,0
2012,0,15.93406582,1
2012,1,33.65384674,0
2012,1,36.32478714,0
2012,1,59.61538315,0
2012,0,25,1
2012,1,19.23077011,0
2012,0,19.23077011,1
2012,0,20.19230843,1
2012,1,20.54195786,0
2012,1,13,0
2012,0,22.11538506,1
2012,1,10.91346169,0
2012,1,62.5,0
2012,0,42.73504257,1
2012,0,16.10577011,1
2012,0,21.875,1
2012,1,57.69230652,0
2012,0,38.94326782,1
2012,1,28.84615326,0
2012,1,19.23077011,0
2012,0,25.96153831,1
2012,0,25,1
2012,0,39.42307663,1
2012,1,16.92307663,0
2012,1,16.15384674,0
2012,0,21.2550602,1
2012,1,18.13186836,0
2012,1,16.70040512,0
2012,0,12.98076916,1
2012,0,21.36752129,1
2012,0,20.03205109,1
2012,0,25.40865326,1
2012,1,24.03846169,0
2012,0,9.430473328,1
2012,1,21.53846169,0
2012,1,17.71255112,0
2012,0,13,1
2012,1,29.5,0
2012,1,9,0
2012,0,19.23077011,1
2012,1,25.96153831,0
2012,0,31.25,1
2012,0,16.82692337,1
2012,0,15.38461494,1
2012,0,12.5,1
2012,0,24.03846169,1
2012,1,16.82692337,0
2012,0,17.06730843,1
2012,0,16.66666603,1
2012,1,55.28845978,0
2012,1,33.65384674,0
2012,1,25.64102554,0
2012,0,36.05769348,1
2012,0,8.97959137,1
2012,1,19.23077011,0
2012,0,14.76648331,1
2012,1,60.09615326,0
2012,1,16.82692337,0
2012,0,20.19326973,1
2012,1,8.846154213,0
2012,0,13.26923084,1
2012,0,13.26923084,1
2012,1,13.19999981,0
2012,1,16.82692337,0
2012,0,43.40277863,1
2012,1,40.86538315,0
2012,0,33.65384674,1
2012,1,37.01922989,0
2012,1,28.47633171,0
2012,1,22.95918274,0
2012,1,19.23077011,0
2012,1,57.69230652,0
2012,0,16.34615326,1
2012,1,28.84615326,0
2012,0,35.25640869,1
2012,1,17.30769157,0
2012,0,19.78022003,1
2012,1,34.18803406,0
2012,0,31.98125076,1
2012,0,29.80769157,1
2012,0,28.84615326,1
2012,1,33.84615326,0
2012,1,21.36752129,0
2012,1,24.03846169,0
2012,0,24.03846169,1
2012,0,16.34615326,1
2012,1,18.2701931,0
2012,0,21.63461494,1
2012,1,26.92307663,0
2012,1,8.653845787,0
2012,1,60.09615326,0
2012,0,32.69230652,1
2012,0,53.84615326,1
2012,0,11.05769253,1
2012,0,19.58333397,1
2012,1,6.593406677,0
2012,0,14.42307663,1
2012,0,24.95192337,1
2012,0,16.64201164,1
2012,1,48.07692337,0
2012,1,20.2429142,0
2012,1,26.44230843,0
2012,0,16.82692337,1
2012,0,16.82692337,1
2012,0,14.42307663,1
2012,1,11.53846169,0
2012,1,12.01923084,0
2012,0,30.76922989,1
2012,0,12.94378662,1
2012,0,19.23077011,1
2012,1,42.73504257,0
2012,1,25.72649574,0
2012,0,15.10683727,1
2012,1,18.75,0
2012,0,39.90384674,1
2012,1,16.82692337,0
2012,1,19.71153831,0
2012,0,14.42307663,1
2012,1,28.47633171,0
2012,1,9.829059601,0
2012,1,38.46154022,0
2012,0,15.07276535,1
2012,1,25.24038506,0
2012,0,21.63461494,1
2012,1,36.6300354,0
2012,0,13.84615421,1
2012,1,24.03846169,0
2012,1,25.24038506,0
2012,0,12.74038506,1
2012,1,42.73504257,0
2012,0,28.63247871,1
2012,1,11.05769253,0
2012,0,16.11778831,1
2012,0,18.75,1
2012,1,13.73626328,0
2012,1,17.09401703,0
2012,1,24.03846169,0
2012,0,21.63461494,1
2012,1,15.38461494,0
2012,0,24.75961494,1
2012,1,28.84615326,0
2012,0,21.36752129,1
2012,0,18.75,1
2012,0,13.80219746,1
2012,0,8.653845787,1
2012,0,26.20192337,1
2012,0,16.82692337,1
2012,0,31.2509613,1
2012,1,44.71154022,0
2012,0,37.5,1
2012,0,2.307692289,1
2012,0,22.59615326,1
2012,1,28.84615326,0
2012,0,21.15384674,1
2012,0,19.23077011,1
2012,1,49.57265091,0
2012,1,19.00673103,0
2012,1,17.30769157,0
2012,0,16.19433212,1
2012,1,9.615385056,0
2012,0,14.42307663,1
2012,1,25.96153831,0
2012,0,7.026627064,1
2012,1,23.07692337,0
2012,0,26.44230843,1
2012,1,17.62820435,0
2012,0,36.32478714,1
2012,0,22.11538506,1
2012,1,30,0
2012,1,17.94871712,0
2012,0,13.60576916,1
2012,0,19.23077011,1
2012,0,25,1
2012,1,19.23077011,0
2012,0,16.11778831,1
2012,0,16.82692337,1
2012,1,23.07692337,0
2012,0,13.41093159,1
2012,0,31.25,1
2012,1,34.61538315,0
2012,1,57.69230652,0
2012,0,35.25640869,1
2012,1,33.65384674,0
2012,1,22.11538506,0
2012,1,2.403846264,0
2012,0,12.98076916,1
2012,0,15.38461494,1
2012,0,25.49019623,1
2012,0,31.25,1
2012,1,29.38034248,0
2012,0,10.57692337,1
2012,1,22.59615326,0
2012,0,15.86538506,1
2012,0,17.30769157,1
2012,0,17.30769157,1
2012,1,21.63557625,0
2012,0,36.05769348,1
2012,1,30.76922989,0
2012,0,29.38034248,1
2012,1,30.44871712,0
2012,0,7.407407284,1
2012,1,29.08653831,0
2012,1,28.84615326,0
2012,1,33.65384674,0
2012,1,19.23077011,0
2012,1,19.23077011,0
2012,1,24.03846169,0
2012,1,46.39422989,0
2012,1,16.82692337,0
2012,0,25,1
2012,1,24.03846169,0
2012,0,36.05769348,1
2012,0,21.63461494,1
2012,1,21.36752129,0
2012,1,7.396449566,0
2012,1,28.84615326,0
2012,0,37.98077011,1
2012,1,43.27019119,0
2012,0,25.64102554,1
2012,0,22.03525734,1
2012,0,21.63461494,1
2012,1,13.46153831,0
2012,0,12.06730747,1
2012,1,12.98076916,0
2012,0,29.32692337,1
2012,1,14.42307663,0
2012,1,46.15384674,0
2012,0,11.53846169,1
2012,0,21.15384674,1
2012,1,40.86538315,0
2012,1,26.92307663,0
2012,1,22.11538506,0
2012,1,23.07692337,0
2012,0,25.48077011,1
2012,1,14.42307663,0
2012,0,2.307692289,1
2012,1,40.86538315,0
2012,0,21.63461494,1
2012,1,72.11538696,0
2012,0,16.82692337,1
2012,0,5.769230843,1
2012,1,33.21678162,0
2012,0,21.63461494,1
2012,0,25.10683823,1
2012,0,16.82692337,1
2012,1,25.21367455,0
2012,0,23.07692337,1
2012,1,19.23077011,0
2012,1,18.54395676,0
2012,0,14.97735023,1
2012,0,17.52136803,1
2012,1,34.18803406,0
2012,0,28.84615326,1
2012,0,33.33333206,1
2012,1,29.9145298,0
2012,0,24.78632545,1
2012,1,30.76922989,0
