testscr,income
663.85,12.58425
663.9,10.551
664,16.956
664,17.709
664.15,16.272
664.15,17.9008
664.3,11.834
664.4,18.6202
664.45,12.431
664.7,15.167
664.75,20.87575
664.95,10.639
664.95,25.02962
665.1,16.7578
665.2,15.297
665.35,17.36945
665.65,22.096
665.9,22.842
665.95,18.31988
666,25.03
666.05,21.957
666.1,18.79683
666.15,10.639
666.15,17.508
666.45,18.593
666.55,11.116
666.6,14.09767
666.65,12.64
666.65,20.93643
666.7,14.18
666.85,11.826
666.85,18.671
667.15,17.332
667.2,17.508
667.45,15.572
667.45,15.56725
667.6,15.752
668,20.47
668.1,9.709
668.4,11.116
668.6,16.321
668.65,21.967
668.8,8.934
668.9,19.997
668.95,18.82723
669.1,18.11867
669.3,23.66738
669.3,22.139
669.35,20.546
669.35,9.485
669.8,11.834
669.85,18.799
669.95,10.551
670,15.519
670.7,21.63173
671.25,21.09575
671.3,15.167
671.6,19.117
671.6,17.62
671.65,15.167
671.7,10.643
671.75,20.73906
671.9,21.566
671.9,17.656
671.95,17.709
672.05,27.816
672.05,18.593
672.3,14.263
672.35,22.758
672.45,12.64
672.55,11.238
672.7,16.956
673.05,17.709
673.25,25.622
673.3,18.726
673.55,13.443
673.55,15.18
673.9,19.117
674.25,13.712
675.4,17.508
675.7,11.834
676.15,13.273
676.55,16.356
676.6,18.626
676.85,23.733
676.95,12.934
677.25,13.906
677.95,15.428
678.05,15.381
678.4,22.529
678.8,23.8061
679.4,24.603
679.5,36.174
679.65,33.455
679.75,20.48022
679.8,20.134
680.05,19.3465
680.45,36.174
681.3,22.86333
681.3,17.709
681.6,14.177
681.9,41.093
682.15,21.957
682.45,16.064
682.55,25.737
682.65,20.474
683.35,35.81
683.4,13.567
684.3,20.089
684.35,18.283
684.8,25.23972
684.95,25.063
686.05,30.6285
686.7,27.47522
687.55,30.84
689.1,34.1595
691.05,43.23
691.35,27.94775
691.9,49.939
693.95,55.328
694.25,35.481
694.8,34.301
695.2,38.62857
695.3,35.342
696.55,31.052
698.2,40.264
698.25,35.81
698.45,43.23
699.1,50.677
700.3,40.402
704.3,28.717
706.75,41.73411
645,23.733
672.2,9.952
655.75,12.502
