model,mshare,Invoice,MSRP,Invoice(in 1Ks),MSRP(in 1Ks),us,asia,europe,city_mpg,front_room,clearance,Height,hiway_mpg,Horsepower,Length,valvetrain,whl_base,Width
Ford Freestyle,0.0166,25271,27395,25.271,27.395,1,0,0,19,58,8,65.9,24,203,199.8,24,112.9,74.4
Nissan Pathfinder,0.0162,25814,27600,25.814,27.6,0,1,0,15,58,8.7,72.8,21,266,187.6,24,112.2,72.8
Nissan Murano,0.0161,26990,29350,26.99,29.35,0,1,0,20,59,7,66.5,24,240,187.6,24,111.2,74
GMC Yukon,0.0159,31261,34165,31.261,34.165,1,0,0,16,65,9.1,76.9,22,295,202,16,116,79
Nissan Xterra,0.0157,21658,22900,21.658,22.9,0,1,0,16,58,9.1,74.9,21,261,178.7,24,106.3,72.8
Toyota RAV4,0.0153,20247,22250,20.247,22.25,0,1,0,23,57,7.5,66.3,28,166,181.1,16,104.7,71.5
Hyundai Santa_Fe,0.0147,22697,24145,22.697,24.145,0,1,0,19,59,8.1,67.9,25,185,184.1,24,106.3,74.4
Hyundai Tucson,0.0132,17856,18895,17.856,18.895,0,1,0,22,56,7.7,68.1,27,140,170.3,16,103.5,70.7
Buick Rendezvous,0.0131,23431,25060,23.431,25.06,1,0,0,19,58,7,68.9,26,196,186.5,12,112.2,73.6
GMC Yukon_XL,0.0116,34102,37270,34.102,37.27,1,0,0,15,65,9.1,76.8,21,320,222.4,16,130,79.1
Subaru Forester,0.0116,20742,21995,20.742,21.995,0,1,0,23,53,8.1,62.6,28,173,176.6,16,99.4,68.3
Dodge Magnum,0.0114,21321,22945,21.321,22.945,1,0,0,21,58,5.6,58.3,28,190,197.7,24,120,74.1
Kia Sorento,0.0103,23270,24595,23.27,24.595,0,1,0,15,58,8.2,71.3,20,192,179.8,24,106.7,73.3
Toyota Sequoia,0.0099,32612,36645,32.612,36.645,0,1,0,15,62,10.6,73.6,17,273,203.9,32,118.1,78.9
Chevrolet HHR,0.0089,15007,15880,15.007,15.88,1,0,0,22,53,6.3,63.1,30,149,176.2,16,103.5,69.1
Nissan Armada,0.0085,34321,37750,34.321,37.75,0,1,0,13,65,10.7,78.7,18,317,206.9,32,123.2,78.8
BMW X5,0.0081,42230,45900,42.23,45.9,0,0,1,17,60,8.3,69.5,23,260,191.1,24,115.5,76.1
Mazda Tribute,0.0080,20990,22435,20.99,22.435,0,1,0,21,56,8.4,70,24,153,174.4,16,103.1,72
Volvo XC90,0.0078,34002,36135,34.002,36.135,0,0,1,17,58,8.9,70.2,22,235,189.3,24,112.6,74.7
Mercedes M_Class,0.0075,40622,43680,40.622,43.68,0,0,1,16,59,8.3,71.5,18,215,188.5,24,114.7,75.2
Lexus GX_470,0.0074,40571,46635,40.571,46.635,0,1,0,15,57,8.3,74.6,19,263,188.2,32,109.8,74
Mercury Mariner,0.0074,21590,22870,21.59,22.87,1,0,0,21,56,8,69.7,24,153,174.9,16,103.1,70.1
Hummer H3,0.0072,27053,29405,27.053,29.405,1,0,0,15,54,9.1,73.7,19,242,186.7,20,111.9,74.7
Mercury Mountaineer,0.0070,27939,29575,27.939,29.575,1,0,0,15,59,8.2,72.8,20,210,193.4,12,113.7,73.7
BMW X3,0.0067,34960,38000,34.96,38,0,0,1,18,55,8,66,26,260,179.9,24,110.1,73
Cadillac Escalade,0.0065,52517,56775,52.517,56.775,1,0,0,13,65,9,74.3,19,403,202.5,16,116,79
Kia Sportage,0.0063,17990,18895,17.99,18.895,0,1,0,22,56,7.7,66.7,27,140,171.3,16,103.5,70.9
Infiniti FX35,0.0058,36126,39300,36.126,39.3,0,1,0,16,56,7.6,65.9,21,275,189.1,24,112.2,75.8
Lincoln Navigator,0.0056,44899,48655,44.899,48.655,1,0,0,12,63,9.4,78.3,16,300,208.4,24,119,82.4
Cadillac SRX,0.0050,34520,36920,34.52,36.92,1,0,0,16,58,8.2,67.8,24,255,194.9,24,116.4,72.6
Mitsubishi Endeavor,0.0045,27332,28999,27.332,28.999,0,1,0,17,59,8.3,69.6,21,225,190.2,24,108.3,73.6
LandRover Range_Rover_Sport,0.0042,63277,69535,63.277,69.535,0,0,1,13,59,8.9,69.6,18,390,188.5,32,108,75.9
Jeep Commander,0.0037,27489,29915,27.489,29.915,1,0,0,16,59,8.4,71.9,19,210,188.5,12,109.5,74.8
Suzuki XL_7,0.0033,23519,24499,23.519,24.499,0,1,0,17,55,7.9,68.9,23,252,197.2,24,112.4,72.2
Buick Rainier,0.0033,31234,33405,31.234,33.405,1,0,0,15,58,8,74.5,21,291,193.4,24,113,75.4
Subaru B9_Tribeca,0.0032,28311,29995,28.311,29.995,0,1,0,18,58,8.4,66.4,23,245,189.8,24,108.2,73.9
Infiniti QX56,0.0032,48730,53050,48.73,53.05,0,1,0,13,65,10.8,77.8,18,320,206.9,32,123.2,78.8
Volvo XC70,0.0030,34270,36420,34.27,36.42,0,0,1,18,56,8.2,61.5,25,208,186.3,20,108.8,73.2
Porsche Cayenne,0.0029,36771,42200,36.771,42.2,0,0,1,15,58,8.5,66.9,19,247,188.3,24,112.4,75.9
Cadillac Escalade_ESV,0.0029,54737,59175,54.737,59.175,1,0,0,13,65,10.7,75.5,19,403,222.9,16,130,79.1
LandRover LR3,0.0029,34839,38285,34.839,38.285,0,0,1,14,59,7.3,74.1,19,216,190.9,12,113.6,75.4
Mitsubishi Outlander,0.0026,22408,23770,22.408,23.77,0,1,0,19,56,8.5,66.1,26,220,182.7,24,105.1,70.9
LandRover Range_Rover,0.0023,81932,90035,81.932,90.035,0,0,1,13,61,10.8,75,18,400,195.7,32,113.3,86.3
Pontiac Torrent,0.0022,22163,23780,22.163,23.78,1,0,0,18,55,7.9,69.3,23,185,188.8,12,112.5,71.4
Lexus LX_470,0.0019,58631,67395,58.631,67.395,0,1,0,13,61,9.8,72.8,17,268,192.5,32,112.2,76.4
Suzuki Grand_Vitara,0.0018,21023,21899,21.023,21.899,0,1,0,19,56,7.9,66.7,23,185,176,24,103.9,71.3
Isuzu Ascender,0.0016,26281,27959,26.281,27.959,0,1,0,15,58,8,74.5,21,291,191.6,24,113,76.1
Mercedes R_Class,0.0011,40920,44000,40.92,44,0,0,1,21,60,5.8,65.4,28,215,203,24,126.6,75.7
Toyota Land_Cruiser,0.0011,49188,56215,49.188,56.215,0,1,0,13,62,9.8,73.2,17,275,192.5,32,112.2,76.4
Mitsubishi Montero,0.0006,34061,36159,34.061,36.159,0,1,0,15,58,8.6,74.2,19,215,190.2,24,109.7,74.8
Saab 9__7X,0.0005,35871,38990,35.871,38.99,0,0,1,15,58,7.7,68.5,21,290,193.2,24,113,75.4
